station,date,sla_m
Laem Chabang Port,1999-03-01,-0.001425
Laem Chabang Port,1999-04-01,-0.05135
Laem Chabang Port,1999-05-01,-0.1329
Laem Chabang Port,1999-06-01,-0.1393
Laem Chabang Port,1999-07-01,-0.231125
Laem Chabang Port,1999-08-01,-0.188375
Laem Chabang Port,1999-09-01,-0.11635
Laem Chabang Port,1999-10-01,0.01705
Laem Chabang Port,1999-11-01,0.077825
Laem Chabang Port,1999-12-01,0.110325
Laem Chabang Port,2000-01-01,0.139
Laem Chabang Port,2000-02-01,0.099125
Laem Chabang Port,2000-03-01,0.088225
Laem Chabang Port,2000-04-01,-0.034275
Laem Chabang Port,2000-05-01,-0.153875
Laem Chabang Port,2000-06-01,-0.12215
Laem Chabang Port,2000-07-01,-0.141925
Laem Chabang Port,2000-08-01,-0.196225
Laem Chabang Port,2000-09-01,-0.08045
Laem Chabang Port,2000-10-01,-0.035975
Laem Chabang Port,2000-11-01,0.11765
Laem Chabang Port,2000-12-01,0.158625
Laem Chabang Port,2001-01-01,0.1515
Laem Chabang Port,2001-02-01,0.182875
Laem Chabang Port,2001-03-01,0.052725
Laem Chabang Port,2001-04-01,-0.0244
Laem Chabang Port,2001-05-01,-0.11995
Laem Chabang Port,2001-06-01,-0.17065
Laem Chabang Port,2001-07-01,-0.1281
Laem Chabang Port,2001-08-01,-0.206925
Laem Chabang Port,2001-09-01,-0.091475
Laem Chabang Port,2001-10-01,-0.024825
Laem Chabang Port,2001-11-01,0.19295
Laem Chabang Port,2001-12-01,0.175075
Laem Chabang Port,2002-01-01,0.18195
Laem Chabang Port,2002-02-01,0.144125
Laem Chabang Port,2002-03-01,0.050625
Laem Chabang Port,2002-04-01,0.05565
Laem Chabang Port,2002-05-01,-0.053825
Laem Chabang Port,2002-06-01,-0.124
Laem Chabang Port,2002-07-01,-0.091925
Laem Chabang Port,2002-08-01,-0.200625
Laem Chabang Port,2002-09-01,-0.137625
Laem Chabang Port,2002-10-01,0.03135
Laem Chabang Port,2002-11-01,0.097625
Laem Chabang Port,2002-12-01,0.13445
Laem Chabang Port,2003-01-01,0.2022
Laem Chabang Port,2003-02-01,0.1714
Laem Chabang Port,2003-03-01,0.1318
Laem Chabang Port,2003-04-01,0.00185
Laem Chabang Port,2003-05-01,-0.107775
Laem Chabang Port,2003-06-01,-0.162
Laem Chabang Port,2003-07-01,-0.150125
Laem Chabang Port,2003-08-01,-0.129975
Laem Chabang Port,2003-09-01,-0.085
Laem Chabang Port,2003-10-01,0.01755
